LeakPipe,LeakArea,LeakDiameter(m),LeakType,StartTime,EndTime,PeakTime
P23,0.000707,0.03,incipient,2024-02-01 00:00:00,2024-02-10 12:00:00,2024-02-05 06:00:00
P19,0.000314,0.02,abrupt,2024-03-05 06:00:00,2024-03-12 18:00:00,2024-03-05 06:00:00
P30,0.001257,0.04,incipient,2024-03-08 00:00:00,2024-03-15 18:00:00,2024-03-12 06:00:00
P9,0.000707,0.03,abrupt,2024-05-15 06:00:00,2024-05-25 18:00:00,2024-05-15 06:00:00
P7,0.000707,0.03,incipient,2024-06-05 00:00:00,2024-06-12 18:00:00,2024-06-09 06:00:00
P22,0.000314,0.02,abrupt,2024-06-08 06:00:00,2024-06-15 18:00:00,2024-06-08 06:00:00
P8,0.000707,0.03,abrupt,2024-08-20 00:00:00,2024-08-29 18:00:00,2024-08-20 00:00:00
P5,0.001257,0.04,incipient,2024-08-25 06:00:00,2024-09-02 18:00:00,2024-08-29 06:00:00
P12,0.001257,0.04,incipient,2024-11-20 00:00:00,2024-11-30 18:00:00,2024-11-25 06:00:00
